Year,Rank,G,Ghome,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,BPF,PPF,HR/9,K/9,BB/9,1B,1B/9,2B/9
1943,4.5,154.75,77.375,76.6875,76.6875,605.875,5294.0,1341.6875,216.6875,47.3125,56.5625,523.3125,534.8125,63.125,56.125,,,605.875,519.1875,3.34125,68.4375,12.9375,15.8125,4199.625,1341.625,56.5625,521.9375,535.3125,163.375,154.8125,0.9735625,466619.4375,100.125,100.1875,0.3636485400482186,3.43838735601393,3.3644521832306458,1021.125,6.564961157246183,1.3931154567372086
1944,4.4375,155.25,77.625,76.9375,76.9375,647.0625,5354.125,1394.0625,228.3125,50.5,64.625,495.9375,511.5625,57.5,42.375,,,647.0625,545.75,3.525,70.1875,11.4375,13.9375,4185.0,1394.0625,64.625,495.9375,511.4375,174.3125,150.3125,0.971625,548296.625,100.0625,100.1875,0.41693548387096774,3.3004032258064515,3.1995967741935485,1050.625,6.778225806451613,1.4729838709677419
1945,4.5,153.75,76.875,76.125,76.125,642.875,5277.9375,1373.5625,218.5625,45.5,62.9375,518.4375,503.125,61.125,46.625,,,642.875,546.625,3.58375,71.25,12.0625,13.625,4121.25,1373.5625,62.9375,518.4375,503.125,167.9375,147.1875,0.97225,677570.1875,100.0625,100.125,0.41232939035486804,3.2961783439490446,3.3964968152866244,1046.5625,6.856460418562329,1.4318926296633303
1946,4.5,155.25,77.625,77.0625,77.0625,622.0625,5270.8125,1347.1875,223.6875,48.9375,75.9375,550.0,606.375,55.25,42.5,,,622.0625,531.875,3.4625,65.75,13.0625,14.1875,4151.8125,1347.1875,75.9375,550.1875,606.375,159.5,150.4375,0.973625,1157705.5625,100.125,100.1875,0.49383552364178296,3.9433681073025335,3.5767511177347244,998.625,6.494241972632435,1.4546809375423384
1947,4.4375,155.375,77.6875,77.0,77.0,676.6875,5277.25,1375.1875,223.0,50.25,97.8125,576.375,572.625,47.5,41.625,,,676.6875,594.3125,3.885,60.0625,11.5,18.125,4132.3125,1375.1875,97.8125,576.3125,572.625,139.375,153.8125,0.976625,1242158.6875,100.4375,100.1875,0.6390943327737193,3.741458323880394,3.765960343028268,1004.125,6.560823993829121,1.4570534053269204
1948,4.5,154.625,77.3125,76.875,76.875,708.0,5275.6875,1389.625,230.375,52.125,97.1875,602.25,564.5625,50.75,36.0,,,708.0,627.625,4.12625,56.0625,9.25,19.625,4111.125,1389.4375,97.1875,602.375,564.6875,146.3125,154.3125,0.975375,1307552.625,100.1875,100.125,0.6382833166104168,3.7077898385478427,3.9553042050533613,1009.9375,6.632810362127155,1.5129982668977469
1949,4.5,155.0,77.5,77.0,77.0,714.125,5273.75,1385.5,225.125,47.5625,106.5,627.0,559.75,45.625,37.375,,,714.125,630.0,4.12375,61.1875,11.0625,15.3125,4131.0,1385.5,106.5,627.0,559.75,142.75,168.75,0.97625,1263460.3125,100.3125,100.1875,0.696078431372549,3.6584967320261437,4.098039215686274,1006.3125,6.577205882352941,1.47140522875817
1950,4.5,154.75,77.375,76.875,76.875,750.8125,5301.4375,1409.9375,232.125,49.5625,129.5625,622.1875,597.8125,40.625,28.875,,,750.8125,665.125,4.3637500000000005,62.375,8.9375,18.0625,4118.625,1409.9375,129.5625,622.1875,597.8125,145.8125,171.3125,0.9755625,1091436.0625,100.25,100.125,0.8493580988800874,3.9190111991259218,4.078803605572248,998.6875,6.546981698989347,1.5217153783119366
1951,4.5,154.875,77.4375,77.1875,77.1875,704.25,5316.5625,1386.9375,223.875,44.75,116.4375,578.1875,583.8125,54.125,37.75,,,704.25,623.0,4.044375,58.625,10.875,17.25,4163.0625,1386.9375,116.4375,578.1875,583.8125,149.5625,170.9375,0.9753125,1007917.25,100.125,100.25,0.7551682205107418,3.7863802188893394,3.7498986623429267,1001.875,6.497770571544386,1.4519659505472233
1952,4.5,154.875,77.4375,76.9375,76.9375,646.8125,5262.1875,1329.5,211.75,42.3125,106.3125,548.625,649.625,48.1875,39.25,,,646.8125,570.5625,3.704375,59.3125,12.0625,19.125,4162.6875,1329.5,106.3125,548.5625,649.625,141.125,157.875,0.9765625,914565.25,100.3125,100.25,0.6895635331741814,4.213593982253052,3.558488356380343,969.125,6.285933066078105,1.3734516463222377
1953,4.4375,155.0,77.5,76.8125,76.8125,714.125,5312.3125,1403.6875,224.5625,46.5625,129.75,543.0625,638.625,41.75,32.5,,,714.125,633.375,4.13875,54.0,10.5625,21.6875,4130.0625,1403.6875,129.75,543.0625,638.625,140.25,162.6875,0.9765625,898987.3125,100.3125,100.25,0.8482317156217369,4.174967085849185,3.5502338039678576,1002.8125,6.555817859899214,1.4680619240023607
1954,4.5,154.625,77.3125,77.0,77.0,676.6875,5246.0,1369.25,215.9375,49.3125,121.0625,564.5625,638.4375,43.4375,32.9375,,,676.6875,598.625,3.90125,52.5,11.0,21.875,4147.875,1369.25,121.0625,564.5625,638.4375,141.875,160.125,0.9761875,995992.6875,99.875,99.9375,0.7880390561432059,4.1558177379983725,3.6749389747762407,982.9375,6.398291293734744,1.4056143205858422
1955,4.5,154.25,77.125,76.9375,76.9375,691.8125,5224.375,1350.625,203.1875,43.75,139.0,565.5,676.5,43.375,33.5,,,691.8125,610.875,3.99875,46.75,11.125,22.25,4126.125,1350.625,139.0,565.5,676.5,138.625,157.3125,0.9765625,1038586.4375,100.25,100.1875,0.9095701172407525,4.426792692901936,3.700445333090975,964.6875,6.312596564573298,1.32959192947378
1956,4.5,154.875,77.4375,77.0,77.0,689.4375,5241.0,1353.3125,208.6875,45.3125,143.375,562.5625,719.1875,44.9375,30.9375,,,689.4375,608.4375,3.9675,47.375,8.5625,22.9375,4142.0625,1353.3125,143.375,562.5625,719.1875,140.1875,157.25,0.9764375,1033953.125,100.3125,100.375,0.9345887465483681,4.688017744782943,3.667058983296365,955.9375,6.231270653207188,1.3603277352768095
1957,4.4375,154.375,77.1875,76.875,76.875,664.75,5306.625,1366.5625,212.25,42.0,137.625,510.9375,747.75,47.9375,34.875,,,664.75,594.6875,3.83625,44.375,9.5625,24.4375,4188.375,1366.5625,137.625,510.9375,747.75,131.125,157.0,0.9781875,1063488.6875,100.25,100.125,0.887187751813054,4.82030620467365,3.2937147461724416,974.6875,6.2832393231265105,1.3682514101531023
1958,4.4375,154.375,77.1875,76.9375,76.9375,661.125,5239.1875,1351.3125,212.0,40.9375,140.0,507.9375,764.3125,46.3125,32.25,,,661.125,591.0,3.86,46.4375,9.0625,25.25,4133.4375,1351.3125,140.0,507.9375,764.3125,130.0,162.5,0.9780625,1091289.375,99.9375,99.875,0.9144930823315944,4.992560671354049,3.317895214334316,958.375,6.260195055568156,1.384803810387843
1959,4.4375,154.75,77.375,77.125,77.125,678.3125,5268.375,1352.25,217.375,36.9375,140.625,511.5,787.875,53.3125,31.625,,,678.3125,599.0625,3.908125,46.375,10.6875,23.6875,4143.0,1352.25,140.625,511.5,787.875,138.6875,147.5,0.9765625,1196498.6875,100.4375,100.375,0.9164554670528603,5.134594496741491,3.333454018826937,957.3125,6.23882150615496,1.4166364952932657
1960,4.5,154.5,77.25,77.0,77.0,666.5,5250.875,1339.625,215.125,41.125,133.0,524.0,801.0625,57.6875,34.1875,,,666.5,588.5,3.818125,41.625,9.9375,26.875,4162.3125,1339.625,133.0,524.0,801.0625,135.0,150.25,0.9774375,1244468.0625,100.0625,99.9375,0.8627415649353575,5.196315149331051,3.399072030271634,950.375,6.164872291544664,1.3954682643362313
1961,5.0,158.88888888888889,79.44444444444444,79.05555555555556,79.05555555555556,719.0,5390.666666666667,1392.5555555555557,220.83333333333331,41.888888888888886,151.66666666666666,549.8333333333334,830.6666666666666,58.11111111111112,33.27777777777778,,,719.0,632.3888888888889,4.028888888888889,41.388888888888886,9.61111111111111,27.83333333333333,4241.5,1392.5555555555557,151.66666666666666,549.8333333333334,830.6666666666666,147.72222222222223,157.05555555555554,0.9756666666666668,1049695.4444444445,100.88888888888889,100.88888888888889,0.9654603324295649,5.28775197453731,3.5000589414122367,978.1666666666667,6.226688671460569,1.4057526818342565
1962,5.5,162.1,81.05,80.9,80.9,723.05,5534.4,1426.05,215.65,42.65,150.05,546.8,878.35,67.4,35.05,,,723.05,637.1,3.958,42.2,9.95,30.9,4349.55,1426.05,150.05,546.8,878.35,145.55,155.15,0.97655,1068760.75,99.9,99.75,0.9314411835707143,5.452391626720005,3.394282167120736,1017.6999999999999,6.317412146084077,1.3386557230058282
