Year,Rank,G,Ghome,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,BPF,PPF,HR/9,K/9,BB/9,1B,1B/9,2B/9
1973,3.5,161.91666666666666,80.95833333333333,80.91666666666667,80.91666666666667,682.3333333333334,5515.125,1417.0833333333333,217.66666666666663,32.916666666666664,129.25,545.8333333333334,848.25,84.75,50.54166666666666,31.45833333333333,42.04166666666666,682.3333333333334,603.625,3.7395833333333335,44.208333333333336,12.208333333333334,34.125,4359.833333333333,1417.0833333333333,129.25,545.8333333333334,848.25,143.625,159.54166666666666,0.9772083333333332,1254538.5833333333,100.33333333333331,100.375,0.8004319736993005,5.253125119461753,3.380289766428381,1037.25,6.423582705760924,1.3479873083833478
1974,3.5,162.08333333333334,81.04166666666667,80.875,80.875,668.5833333333334,5510.666666666667,1415.375,216.91666666666663,35.291666666666664,110.375,540.125,812.2916666666666,103.66666666666669,57.625,32.25,46.0,668.5833333333334,585.1666666666666,3.6179166666666656,45.375,11.916666666666666,21.541666666666668,4367.791666666667,1415.375,110.375,540.125,812.2916666666666,149.79166666666666,157.91666666666666,0.97625,1251067.0,100.16666666666669,100.125,0.6822955917845592,5.021273145277457,3.338844000114474,1052.7916666666665,6.507951195779712,1.3408949984259777
1975,3.4166666666666665,161.16666666666666,80.58333333333333,80.54166666666667,80.54166666666667,678.9583333333334,5478.041666666667,1410.9583333333333,226.79166666666663,36.958333333333336,112.41666666666669,558.4166666666666,803.3333333333334,105.16666666666669,57.04166666666666,31.70833333333333,45.29166666666666,678.9583333333334,594.625,3.700833333333333,43.833333333333336,11.083333333333334,27.875,4340.5,1410.9583333333333,112.41666666666669,558.4166666666666,803.3333333333334,154.58333333333334,153.79166666666666,0.9755,1241246.375,100.20833333333331,100.16666666666669,0.6992857965672159,4.997120147448451,3.4736205506278073,1034.7916666666665,6.436902430595553,1.4107533694274852
1976,3.458333333333333,161.58333333333334,80.79166666666667,80.79166666666667,80.79166666666667,645.5,5480.208333333333,1399.9166666666667,218.33333333333331,40.25,93.125,516.2916666666666,781.0416666666666,127.25,64.33333333333333,28.5,49.29166666666666,645.5,567.5,3.5108333333333337,43.29166666666666,13.541666666666666,28.45833333333333,4365.708333333333,1399.9166666666667,93.125,516.2916666666666,781.0416666666666,144.125,151.33333333333334,0.9772916666666666,1304930.4583333333,100.25,100.20833333333331,0.5759374671922274,4.830401710299016,3.1930385485364154,1048.2083333333335,6.482710900293005,1.3502963436632085
1977,3.730769230769231,161.76923076923077,80.88461538461539,80.88461538461539,80.88461538461539,723.1923076923077,5537.5,1462.9615384615386,247.73076923076923,45.0,140.15384615384616,529.1153846153846,835.4615384615385,116.03846153846152,68.42307692307692,30.423076923076923,47.34615384615385,723.1923076923077,643.3076923076923,3.9915384615384615,34.88461538461539,9.153846153846152,32.5,4354.5,1462.9615384615386,140.15384615384616,529.1153846153846,835.4615384615385,142.69230769230768,149.3846153846154,0.9773846153846152,1488837.6538461538,100.1923076923077,100.23076923076924,0.8690214367100347,5.180264447918599,3.2807705556586026,1030.076923076923,6.386973687697077,1.5360502398049765
1978,3.730769230769231,161.69230769230768,80.84615384615384,80.84615384615384,80.84615384615384,663.5,5444.884615384615,1404.1538461538462,237.92307692307693,39.23076923076923,113.6923076923077,521.7692307692307,771.4615384615385,115.53846153846152,62.19230769230769,29.692307692307693,49.0,663.5,589.0769230769231,3.6769230769230767,39.76923076923077,11.73076923076923,30.923076923076923,4326.538461538462,1404.1538461538462,113.6923076923077,521.7692307692307,771.4615384615385,139.15384615384616,147.53846153846155,0.9777692307692308,1562957.1538461538,100.1923076923077,100.26923076923076,0.7095030669392834,4.8143479420392925,3.2561294337274416,1013.3076923076924,6.3236020979642635,1.4847719797315315
1979,3.769230769230769,161.3846153846154,80.73076923076923,80.65384615384616,80.65384615384616,719.7307692307693,5492.0,1458.1153846153843,246.73076923076923,41.0,132.03846153846155,523.1153846153846,770.5769230769231,114.73076923076924,61.46153846153846,29.0,50.53846153846154,719.7307692307693,639.1153846153846,3.992692307692308,35.11538461538461,9.115384615384617,32.30769230769231,4324.423076923077,1458.1153846153843,132.03846153846155,523.1153846153846,770.5769230769231,139.65384615384616,157.73076923076923,0.9777692307692308,1675015.3076923075,100.15384615384616,100.26923076923076,0.8243963178725486,4.811179792769155,3.2661270956552673,1038.3461538461536,6.483025748210075,1.5404900609240895
1980,3.769230769230769,161.92307692307693,80.96153846153847,80.8076923076923,80.8076923076923,694.3461538461538,5544.615384615385,1467.076923076923,244.03846153846155,41.38461538461539,118.73076923076924,507.3076923076923,777.3846153846154,126.6923076923077,61.92307692307692,25.26923076923077,49.84615384615385,694.3461538461538,620.2307692307693,3.835769230769231,32.92307692307692,10.153846153846152,34.69230769230769,4368.615384615385,1467.076923076923,118.73076923076924,507.3076923076923,777.3846153846154,138.80769230769232,158.23076923076923,0.9781923076923076,1654389.8461538462,100.23076923076924,100.1923076923077,0.7338093393435695,4.804585152838428,3.1353887871531203,1062.9230769230767,6.569340752218621,1.5082670094379491
1981,3.769230769230769,107.23076923076924,53.61538461538461,53.42307692307692,53.42307692307692,428.7307692307692,3633.346153846154,929.1153846153846,153.84615384615384,25.346153846153847,68.5,341.0769230769231,509.11538461538464,77.73076923076923,42.30769230769231,17.846153846153847,31.884615384615383,428.7307692307692,383.9230769230769,3.5819230769230765,19.615384615384617,8.461538461538462,23.26923076923077,2895.576923076923,929.1153846153846,68.5,341.0769230769231,509.11538461538464,88.61538461538461,102.46153846153848,0.9790384615384616,1020937.5384615384,100.34615384615384,100.26923076923076,0.638732815301853,4.747280334728034,3.1803945008965933,681.423076923077,6.35397489539749,1.4345487148834428
1982,3.730769230769231,162.07692307692307,81.03846153846153,81.0,81.0,696.5384615384615,5544.192307692308,1448.1153846153843,242.92307692307693,37.07692307692308,129.96153846153845,511.61538461538464,816.1923076923077,122.15384615384616,62.19230769230769,26.03846153846154,46.96153846153846,696.5384615384615,623.9230769230769,3.8561538461538474,28.23076923076923,9.153846153846152,35.84615384615385,4370.576923076923,1448.1153846153843,129.96153846153845,511.61538461538464,816.1923076923077,132.76923076923077,150.19230769230768,0.9788846153846154,1714918.2307692308,100.26923076923076,100.15384615384616,0.8028600343204118,5.042170106041273,3.1605931271175254,1038.1538461538457,6.413376160513924,1.5006996083953008
