yearID,Rank,G,Ghome,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,BPF,PPF
1940,4.4375,154.5,77.25,76.75,76.75,723.0,5375.1875,1437.625,256.3125,58.0625,98.1875,517.25,566.0,59.5625,41.625,,,723.0,629.8125,4.12,68.4375,8.9375,14.75,4134.0,1437.6875,98.1875,516.5625,566.0,177.0625,146.0625,0.9708749999999999,613967.75,100.25,100.125
1941,4.375,155.5,77.75,76.9375,76.9375,698.0,5365.875,1408.1875,247.375,54.1875,83.1875,555.6875,552.4375,55.125,40.375,,,698.0,599.6875,3.894375,67.8125,10.25,13.75,4161.375,1408.375,83.1875,555.6875,552.25,173.375,149.625,0.9715625,605600.1875,100.3125,100.1875
1942,4.5,153.0,76.5,75.9375,75.9375,624.6875,5232.75,1323.5,217.3125,45.1875,66.9375,524.625,520.8125,60.0625,48.75,,,624.6875,530.9375,3.490625,70.5,11.375,12.4375,4114.875,1323.125,66.9375,524.0625,520.875,169.1875,147.6875,0.9719375,534598.0625,100.25,100.1875
1943,4.5,154.75,77.375,76.6875,76.6875,605.875,5294.0,1341.6875,216.6875,47.3125,56.5625,523.3125,534.8125,63.125,56.125,,,605.875,519.1875,3.34125,68.4375,12.9375,15.8125,4199.625,1341.625,56.5625,521.9375,535.3125,163.375,154.8125,0.9735625,466619.4375,100.125,100.1875
1944,4.4375,155.25,77.625,76.9375,76.9375,647.0625,5354.125,1394.0625,228.3125,50.5,64.625,495.9375,511.5625,57.5,42.375,,,647.0625,545.75,3.525,70.1875,11.4375,13.9375,4185.0,1394.0625,64.625,495.9375,511.4375,174.3125,150.3125,0.971625,548296.625,100.0625,100.1875
1945,4.5,153.75,76.875,76.125,76.125,642.875,5277.9375,1373.5625,218.5625,45.5,62.9375,518.4375,503.125,61.125,46.625,,,642.875,546.625,3.58375,71.25,12.0625,13.625,4121.25,1373.5625,62.9375,518.4375,503.125,167.9375,147.1875,0.97225,677570.1875,100.0625,100.125
1946,4.5,155.25,77.625,77.0625,77.0625,622.0625,5270.8125,1347.1875,223.6875,48.9375,75.9375,550.0,606.375,55.25,42.5,,,622.0625,531.875,3.4625,65.75,13.0625,14.1875,4151.8125,1347.1875,75.9375,550.1875,606.375,159.5,150.4375,0.973625,1157705.5625,100.125,100.1875
1947,4.4375,155.375,77.6875,77.0,77.0,676.6875,5277.25,1375.1875,223.0,50.25,97.8125,576.375,572.625,47.5,41.625,,,676.6875,594.3125,3.885,60.0625,11.5,18.125,4132.3125,1375.1875,97.8125,576.3125,572.625,139.375,153.8125,0.976625,1242158.6875,100.4375,100.1875
1948,4.5,154.625,77.3125,76.875,76.875,708.0,5275.6875,1389.625,230.375,52.125,97.1875,602.25,564.5625,50.75,36.0,,,708.0,627.625,4.12625,56.0625,9.25,19.625,4111.125,1389.4375,97.1875,602.375,564.6875,146.3125,154.3125,0.975375,1307552.625,100.1875,100.125
1949,4.5,155.0,77.5,77.0,77.0,714.125,5273.75,1385.5,225.125,47.5625,106.5,627.0,559.75,45.625,37.375,,,714.125,630.0,4.12375,61.1875,11.0625,15.3125,4131.0,1385.5,106.5,627.0,559.75,142.75,168.75,0.97625,1263460.3125,100.3125,100.1875
1950,4.5,154.75,77.375,76.875,76.875,750.8125,5301.4375,1409.9375,232.125,49.5625,129.5625,622.1875,597.8125,40.625,28.875,,,750.8125,665.125,4.3637500000000005,62.375,8.9375,18.0625,4118.625,1409.9375,129.5625,622.1875,597.8125,145.8125,171.3125,0.9755625,1091436.0625,100.25,100.125
1951,4.5,154.875,77.4375,77.1875,77.1875,704.25,5316.5625,1386.9375,223.875,44.75,116.4375,578.1875,583.8125,54.125,37.75,,,704.25,623.0,4.044375,58.625,10.875,17.25,4163.0625,1386.9375,116.4375,578.1875,583.8125,149.5625,170.9375,0.9753125,1007917.25,100.125,100.25
1952,4.5,154.875,77.4375,76.9375,76.9375,646.8125,5262.1875,1329.5,211.75,42.3125,106.3125,548.625,649.625,48.1875,39.25,,,646.8125,570.5625,3.704375,59.3125,12.0625,19.125,4162.6875,1329.5,106.3125,548.5625,649.625,141.125,157.875,0.9765625,914565.25,100.3125,100.25
